SubhaloID,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{1/2M_{sub}}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z,$R_{1/2M_*}$
745682,5313957000.0,620390100.0,63570756000.0,31.609093,0.06728714,74.109886,39.478905,69506810000.0,0.024,1.6577759
745725,5255282700.0,290041730.0,57320854000.0,32.71578,0.030830542,67.487366,36.66528,62868214000.0,0.024,1.4631399
745753,5203849700.0,528682800.0,64598490000.0,35.307426,0.08132681,70.3683,37.160267,70332600000.0,0.024,2.2289627
745773,4819887600.0,694978000.0,59283313000.0,33.386307,0.073771834,72.01196,39.820827,64800293000.0,0.024,2.4452236
745864,5044435000.0,1075429400.0,63195513000.0,28.3063,0.08787263,78.63846,41.317577,69317310000.0,0.024,2.0214794
745920,3141576000.0,943606340.0,74477450000.0,26.590906,0.0625519,82.024574,44.096348,78567540000.0,0.024,2.5722346
745939,5999801300.0,1257533300.0,58749702000.0,27.947548,0.1994713,79.290344,40.588467,66007040000.0,0.024,2.3378541
745980,4590132700.0,435653820.0,67410805000.0,32.654083,0.08742426,70.38375,39.214634,72439276000.0,0.024,1.3608439
746056,7069047300.0,487008320.0,52988030000.0,31.92717,0.06725215,69.74511,36.320538,60547640000.0,0.024,1.6793277
746146,6121891000.0,541271200.0,54943228000.0,29.950474,0.1304476,70.483154,37.362865,61607977000.0,0.024,1.6848562
746219,4731208700.0,226810180.0,59133570000.0,41.125328,0.02756172,61.567467,33.51425,64093344000.0,0.024,1.3709754
746277,5973368000.0,979282100.0,56886166000.0,27.72715,0.29794833,73.44539,39.332455,63838814000.0,0.024,1.4942644
746318,5104491000.0,247139840.0,48348934000.0,35.624504,0.033465914,59.872734,31.982616,53702520000.0,0.024,1.4049832
746356,6175977000.0,1570345600.0,54235836000.0,24.440443,0.27819562,79.52149,40.985348,61982155000.0,0.024,2.555199
746410,6081824300.0,1489173400.0,52355510000.0,23.061632,0.33585823,77.64084,40.738213,59926508000.0,0.024,2.490104
746445,7352686600.0,528393660.0,54805737000.0,25.535606,0.09334274,75.71616,40.240437,62690107000.0,0.024,1.6779472
746488,5240588000.0,1021555800.0,62685495000.0,28.357445,0.21189764,77.85772,40.86295,68949066000.0,0.024,2.0127773
746512,7530519600.0,229468080.0,55158300000.0,31.241772,0.032919828,69.1775,37.07202,62918290000.0,0.024,0.99921304
746555,2115197400.0,1882109700.0,60438550000.0,23.577188,0.07569813,88.18771,42.978626,64445452000.0,0.024,2.1673555
746580,4635334000.0,269132860.0,60442630000.0,36.464813,0.02580321,63.56689,35.506104,65349690000.0,0.024,1.2811358
746620,4359950000.0,473903900.0,68964890000.0,33.001797,0.06302281,72.853,40.625145,73802090000.0,0.024,1.1561886
746646,4210462500.0,316975840.0,71583010000.0,31.42182,0.027496532,73.58145,41.072628,76114080000.0,0.024,1.1525092
746766,6734766000.0,229247570.0,54081106000.0,34.46886,0.08321454,66.049866,35.279373,61046333000.0,0.024,1.0730412
746873,6937012000.0,374421380.0,56615735000.0,31.839714,0.06352076,67.07972,35.99355,63927170000.0,0.024,1.8841965
746915,6064251000.0,401254700.0,60107768000.0,34.324867,0.04339586,66.99966,36.41587,66575155000.0,0.024,2.1974998
746953,4553714000.0,343019400.0,66447516000.0,31.055614,0.041801345,73.834564,41.716747,71345780000.0,0.024,1.3743294
747003,4924836000.0,432425950.0,64976007000.0,31.047567,0.051430997,71.369095,40.61132,70335400000.0,0.024,1.0699124
