SubhaloID,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{1/2M_{sub}}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z,$R_{1/2M_*}$
342162,9211771000.0,254998690.0,76357330000.0,26.823103,0.10345137,85.65428,52.750267,85825500000.0,2.103,1.8829443
342274,11880872000.0,1621604000.0,88173330000.0,17.592876,1.4890814,112.288216,64.63109,101679374000.0,2.103,1.711301
342339,13055261000.0,1632103600.0,84094610000.0,17.58262,1.9699945,112.16019,65.61375,98784030000.0,2.103,1.5696738
342395,7024554000.0,274834370.0,70541210000.0,17.318567,0.29078802,98.36123,63.262177,77842070000.0,2.103,1.2315453
342396,2648777500.0,155103300.0,27345471000.0,12.667855,0.1088368,71.854836,41.345417,30149353000.0,2.103,1.7218473
342523,10718110000.0,331593200.0,97994220000.0,20.679585,0.48184833,109.481346,70.87267,109043920000.0,2.103,4.866794
342524,380420670.0,260573800.0,3296466700.0,2.1071327,0.15059772,64.33782,39.610832,3939415300.0,2.103,0.8227947
342586,11013599000.0,659069000.0,103082074000.0,22.725857,0.7759133,105.18901,65.08396,114756250000.0,2.103,3.1687257
342670,13581732000.0,1437826000.0,89559530000.0,16.401478,1.0159163,117.20439,66.201645,104582250000.0,2.103,2.6469967
342724,12180929000.0,931916540.0,101971304000.0,21.538704,0.90790224,108.115585,65.378624,115086705000.0,2.103,1.6826217
342787,10904514000.0,1275985700.0,104682890000.0,19.472406,1.3245159,114.93207,71.091805,116865640000.0,2.103,1.6214155
342843,7627086000.0,489493920.0,50172990000.0,15.913773,0.43797618,89.188965,50.209763,58290803000.0,2.103,2.7393265
342964,12060571000.0,676504100.0,101504850000.0,19.233423,1.2051724,113.701775,73.911156,114243710000.0,2.103,1.1601403
343040,11891200000.0,566450240.0,94495834000.0,20.436405,0.69322276,106.10975,65.23383,106955170000.0,2.103,1.9609481
343112,8990130000.0,469661220.0,84280640000.0,20.538168,0.38365403,100.28976,61.914246,93742350000.0,2.103,1.5532548
343197,11231998000.0,587087940.0,96840340000.0,24.013689,0.5249709,98.70005,59.573135,108661110000.0,2.103,2.5987232
343284,10171948000.0,827485630.0,73600820000.0,18.598177,0.6685408,101.58293,58.405556,84602200000.0,2.103,1.8369763
343373,11279010000.0,1196700000.0,91612275000.0,17.607046,1.1904036,113.26016,67.46888,104090640000.0,2.103,1.4030737
343432,12134477000.0,748746400.0,99152175000.0,20.167025,0.9932421,109.48575,67.45472,112037180000.0,2.103,1.9591687
343628,11210266000.0,545755600.0,95129264000.0,22.68205,0.6967962,100.72468,61.929962,106886990000.0,2.103,3.1786733
343879,10463877000.0,1876220900.0,98389430000.0,17.434958,1.5749139,116.89069,69.6536,110733574000.0,2.103,1.879589
343924,9292369000.0,521974370.0,73052690000.0,19.842712,0.34776908,96.718796,58.417393,82868480000.0,2.103,2.8585467
343987,8925138000.0,263022220.0,97168400000.0,19.242609,0.5175379,111.59883,72.334045,106358180000.0,2.103,2.6981375
344098,12063113000.0,974043650.0,95203680000.0,19.758593,0.7993572,108.917595,65.16282,108244250000.0,2.103,1.0156159
344173,13090040000.0,1040238660.0,91963930000.0,19.716002,1.1903615,109.27641,66.57863,106096170000.0,2.103,2.1573067
344212,13728206000.0,952529100.0,81308160000.0,16.772577,1.5295784,113.6966,69.92114,95990960000.0,2.103,2.2485356
344262,12658250000.0,1285279600.0,92976690000.0,19.22219,1.1291735,111.27677,64.81439,106924060000.0,2.103,1.2788256
344320,10104045000.0,604258700.0,85977200000.0,21.497238,0.65179116,98.9421,65.33054,96687220000.0,2.103,1.695604
344413,12970171000.0,859971100.0,94129210000.0,18.088968,1.3995711,113.606804,67.73096,107961090000.0,2.103,2.4112458
344463,10759428000.0,500591800.0,64026320000.0,19.31601,0.5401298,91.592636,53.422386,75286340000.0,2.103,3.8704395
344521,11490131000.0,354147700.0,80357100000.0,22.940435,0.33249214,93.04916,58.334747,92202750000.0,2.103,1.970129
344622,12119683000.0,796579400.0,97069480000.0,20.35845,0.7799303,107.839325,63.807434,109987500000.0,2.103,2.549573
344700,11085166000.0,405931230.0,45480800000.0,19.015102,0.48625106,80.445435,47.79611,56973110000.0,2.103,3.5284462
344777,12542983000.0,1190614500.0,91040555000.0,18.060453,1.4233153,112.12491,64.931404,104776520000.0,2.103,2.3050766
344826,6817443000.0,263116830.0,40525440000.0,16.863756,0.50943935,77.9627,45.498924,47605998000.0,2.103,1.55898
344827,5423782000.0,269470980.0,28968522000.0,12.646014,0.33228394,78.65984,46.00866,34661773000.0,2.103,1.5814166
344922,10749109000.0,557648800.0,94827520000.0,21.319672,0.8064136,104.552864,63.999393,106135814000.0,2.103,2.721551
344971,11333700000.0,344558620.0,81779590000.0,20.682947,0.41372225,98.82511,60.854507,93459450000.0,2.103,3.8798234
345185,13640684000.0,702443200.0,83946690000.0,21.13815,0.59695673,100.714935,61.425354,98291570000.0,2.103,3.3545961
345271,9952493000.0,457013440.0,71042600000.0,19.779806,0.5832628,94.73714,60.09321,81453580000.0,2.103,1.9863578
345355,13280978000.0,951615550.0,86126030000.0,18.47277,0.91238457,108.6366,63.48898,100360850000.0,2.103,2.046236
